Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,growth_habit,genus_name,species_name,smp_name
ABES,HIES,Hibiscus esculentus L.,NA,Forb/herb,Hibiscus,esculentus,Hibiscus_esculentus
ABES,NA,Abelmoschus esculentus (L.) Moench,okra,Forb/herb,Abelmoschus,esculentus,Abelmoschus_esculentus
ABAL,NA,Abronia alpina Brandegee,Ramshaw Meadows sand verbena,Forb/herb,Abronia,alpina,Abronia_alpina
ABAM2,NA,Abronia ameliae Lundell,Amelia's sand verbena,Forb/herb,Abronia,ameliae,Abronia_ameliae
ABAM3,NA,Abronia ammophila Greene,Wyoming sand verbena,Forb/herb,Abronia,ammophila,Abronia_ammophila
ABAM3,ABFE,Abronia fendleri Standl.,NA,Forb/herb,Abronia,fendleri,Abronia_fendleri
ABAN,NA,Abronia angustifolia Greene,purple sand verbena,Forb/herb,Abronia,angustifolia,Abronia_angustifolia
ABAN,ABANA,Abronia angustifolia Greene var. arizonica (Standl.) Kearney & Peebles,NA,Forb/herb,Abronia,angustifolia,Abronia_angustifolia
ABAN,ABTO,Abronia torreyi Standl.,NA,Forb/herb,Abronia,torreyi,Abronia_torreyi
ABAR,NA,Abronia argillosa S.L. Welsh & Goodrich,clay sand verbena,Forb/herb,Abronia,argillosa,Abronia_argillosa
ABBI,NA,Abronia bigelovii Heimerl,Galisteo sand verbena,Forb/herb,Abronia,bigelovii,Abronia_bigelovii
ABBO,NA,"Abronia bolackii N.D. Atwood, S.L. Welsh & K.D. Heil",Bolack's sand verbena,Forb/herb,Abronia,bolackii,Abronia_bolackii
ABCA,NA,Abronia carletonii J.M. Coult. & Fisher,Carleton's sand verbena,Forb/herb,Abronia,carletonii,Abronia_carletonii
ABEL,NA,Abronia elliptica A. Nelson,fragrant white sand verbena,Forb/herb,Abronia,elliptica,Abronia_elliptica
ABEL,ABFRE2,Abronia fragrans Nutt. ex Hook. var. elliptica (A. Nelson) M.E. Jones,NA,Forb/herb,Abronia,fragrans,Abronia_fragrans
ABEL,ABSA3,Abronia salsa Rydb.,NA,Forb/herb,Abronia,salsa,Abronia_salsa
ABEL,ABRA,Abronia ramosa Standl.,NA,Forb/herb,Abronia,ramosa,Abronia_ramosa
ABEL,ABPU2,Abronia pumila Rydb.,NA,Forb/herb,Abronia,pumila,Abronia_pumila
ABFR2,NA,Abronia fragrans Nutt. ex Hook.,snowball sand verbena,Forb/herb,Abronia,fragrans,Abronia_fragrans
ABFR2,ABFRG2,Abronia fragrans Nutt. ex Hook. var. glaucescens A. Nelson,NA,Forb/herb,Abronia,fragrans,Abronia_fragrans
ABGR2,NA,Abronia gracilis Benth.,slender sand verbena,Forb/herb,Abronia,gracilis,Abronia_gracilis
ABIN2,NA,Abronia insularis Standl.,island sand verbena,Forb/herb,Abronia,insularis,Abronia_insularis
ABLA2,NA,Abronia latifolia Eschsch.,coastal sand verbena,Forb/herb,Abronia,latifolia,Abronia_latifolia
ABMA5,NA,Abronia macrocarpa L.A. Galloway,largefruit sand verbena,Forb/herb,Abronia,macrocarpa,Abronia_macrocarpa
ABMA2,NA,Abronia maritima Nutt. ex S. Watson,red sand verbena,Forb/herb,Abronia,maritima,Abronia_maritima
ABME,NA,Abronia mellifera Douglas ex Hook.,white sand verbena,Forb/herb,Abronia,mellifera,Abronia_mellifera
ABMI2,NA,Abronia minor Standl.,little sand verbena,Forb/herb,Abronia,minor,Abronia_minor
ABNA,NA,Abronia nana S. Watson,dwarf sand verbena,Forb/herb,Abronia,nana,Abronia_nana
ABNAC,ABNAC2,Abronia nana S. Watson ssp. covillei (Heimerl) Munz,NA,Forb/herb,Abronia,nana,Abronia_nana
ABNAC,NA,Abronia nana S. Watson var. covillei (Heimerl) Munz,Coville's dwarf sand verbena,Forb/herb,Abronia,nana,Abronia_nana
ABNAH,NA,Abronia nana S. Watson var. harrisii S.L. Welsh,Harris' dwarf sand verbena,Forb/herb,Abronia,nana,Abronia_nana
ABNAN,NA,Abronia nana S. Watson var. nana,dwarf sand verbena,Forb/herb,Abronia,nana,Abronia_nana
ABNAN,ABNAL,Abronia nana S. Watson var. lanciformis M.E. Jones,NA,Forb/herb,Abronia,nana,Abronia_nana
ABNE,NA,Abronia neurophylla Standl.,beach sand verbena,Forb/herb,Abronia,neurophylla,Abronia_neurophylla
ABPO,NA,Abronia pogonantha Heimerl,Mojave sand verbena,Forb/herb,Abronia,pogonantha,Abronia_pogonantha
ABTU,NA,Abronia turbinata Torr. ex S. Watson,transmontane sand verbena,Forb/herb,Abronia,turbinata,Abronia_turbinata
ABTU,ABEX,Abronia exalata Standl.,NA,Forb/herb,Abronia,exalata,Abronia_exalata
ABTU,ABOR2,Abronia orbiculata Standl.,NA,Forb/herb,Abronia,orbiculata,Abronia_orbiculata
ABUM,NA,Abronia umbellata Lam.,pink sand verbena,Forb/herb,Abronia,umbellata,Abronia_umbellata
ABUMB,ABBR2,Abronia breviflora Standl.,NA,Forb/herb,Abronia,breviflora,Abronia_breviflora
ABUMB,ABUMA2,Abronia umbellata Lam. ssp. acutalata (Standl.) Tillett,NA,Forb/herb,Abronia,umbellata,Abronia_umbellata
ABUMB,ABAC,Abronia acutalata Standl.,NA,Forb/herb,Abronia,acutalata,Abronia_acutalata
ABUMB,NA,Abronia umbellata Lam. ssp. breviflora (Standl.) Munz,pink sand verbena,Forb/herb,Abronia,umbellata,Abronia_umbellata
ABUMB,ABUMA3,Abronia umbellata Lam. var. acutalata (Standl.) C.L. Hitchc.,NA,Forb/herb,Abronia,umbellata,Abronia_umbellata
ABUMU,ABUMA4,Abronia umbellata Lam. ssp. alba (Eastw.) Munz,NA,Forb/herb,Abronia,umbellata,Abronia_umbellata
ABUMU,ABPL,Abronia platyphylla Standl.,NA,Forb/herb,Abronia,platyphylla,Abronia_platyphylla
ABUMU,ABUMP,Abronia umbellata Lam. ssp. platyphylla (Standl.) Munz,NA,Forb/herb,Abronia,umbellata,Abronia_umbellata
ABUMU,NA,Abronia umbellata Lam. ssp. umbellata,pink sand verbena,Forb/herb,Abronia,umbellata,Abronia_umbellata
ABUMU,ABUMV,Abronia umbellata Lam. ssp. variabilis (Standl.) Munz,NA,Forb/herb,Abronia,umbellata,Abronia_umbellata
ABUMU,ABAL2,Abronia alba Eastw.,NA,Forb/herb,Abronia,alba,Abronia_alba
ABUMU,ABVA,Abronia variabilis Standl.,NA,Forb/herb,Abronia,variabilis,Abronia_variabilis
ABVI,NA,Abronia villosa S. Watson,desert sand verbena,Forb/herb,Abronia,villosa,Abronia_villosa
ABVIA,ABPI2,Abronia pinetorum Abrams,NA,Forb/herb,Abronia,pinetorum,Abronia_pinetorum
ABVIA,NA,Abronia villosa S. Watson var. aurita (Abrams) Jeps.,desert sand verbena,Forb/herb,Abronia,villosa,Abronia_villosa
ABVIV,NA,Abronia villosa S. Watson var. villosa,desert sand verbena,Forb/herb,Abronia,villosa,Abronia_villosa
ABAB,NA,Abutilon abutiloides (Jacq.) Garcke ex Hochr.,shrubby Indian mallow,Forb/herb,Abutilon,abutiloides,Abutilon_abutiloides
ABAB,ABLI,Abutilon lignosum (Cav.) G. Don,NA,Forb/herb,Abutilon,lignosum,Abutilon_lignosum
ABAB,ABAM5,Abutilon americanum (L.) Sweet,NA,Forb/herb,Abutilon,americanum,Abutilon_americanum
ABAB,ABJA,Abutilon jacquinii G. Don,NA,Forb/herb,Abutilon,jacquinii,Abutilon_jacquinii
ABHI,NA,Abutilon hirtum (Lam.) Sweet,Florida Keys Indian mallow,Forb/herb,Abutilon,hirtum,Abutilon_hirtum
