easting,northing,NLCD_code_plot,NLCD_plot_des,plotID,site,year,year_mo,mean.max.canopy.ht.aop,max.canopy.ht.aop,rumple.aop,deepgap.fraction.aop,cover.fraction.aop,top.rugosity.aop,vert.sd.aop,vertCV.aop,sd.sd.aop,entropy.aop,GFP.AOP.aop,VAI.AOP.aop,VCI.AOP.aop,q25.aop,q50.aop,latitude,longitude,NLCD_plot,NLCD_plot_Abb,shannon_exotic,evenness_exotic,nspp_exotic,shannon_notexotic,evenness_notexotic,nspp_notexotic,shannon_native,evenness_native,nspp_native,shannon_unknown,evenness_unknown,nspp_unknown,rel_cover_native,rel_cover_unknown,rel_cover_exotic,cover_native,cover_unknown,cover_exotic,rel_cover_notexotic,cover_notexotic,shannon_total,evenness_total,nspp_total,shannon_family,evenness_family,nfamilies,scale,invaded,turnover,nestedness,plotType,subtype,minElev,maxElev,slope,aspect,soilOrder
589272.108,5075615.713,42,"Evergreen forest: areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75% of the tree species maintain their leaves all year. Canopy is never without green foliage.",WREF_010,WREF,2019,2019-07,51.99134694,59.787,2.998165325,0.111111111,0.888888889,4.824952717,15.40479655,0.351013887,9.001376731,0.752099701,0.936107677,8.403300176,0.752099701,44.736,49.466,45.828324,-121.850642,Evergreen Forest,E,0,0,1,1.788624095,0.099368005,18,1.725922602,0.115061507,15,1.011404265,0.337134755,3,0.981776765,0.013667426,0.004555809,26.9375,0.375,0.125,0.995444191,27.3125,1.809582851,0.095241203,19,1.330637922,0.102356763,13,plot,invaded,0.782608696,0.069243156,distributed,basePlot,630.25,659.19,13.5,180,
587833.476,5075762.379,42,"Evergreen forest: areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75% of the tree species maintain their leaves all year. Canopy is never without green foliage.",WREF_025,WREF,2018,2018-07,47.679248,58.449,4.069987968,0.149659864,0.850340136,6.935717724,14.46756969,0.384586037,4.977821773,0.870090279,0.926087068,9.527045105,0.870090279,26.78,43.11,45.829829,-121.869134,Evergreen Forest,E,0,0,1,2.089913935,0.11610633,18,1.928667345,0.120541709,16,0.223718076,0.111859038,2,0.881548975,0.116173121,0.002277904,24.1875,3.1875,0.0625,0.997722096,27.375,2.101288527,0.110594133,19,1.87267789,0.144052145,13,plot,invaded,0.819047619,0.072380952,distributed,basePlot,296.17,316.23,19.29,270,
553093.765,5066629.74,42,"Evergreen forest: areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75% of the tree species maintain their leaves all year. Canopy is never without green foliage.",ABBY_014,ABBY,2018,2018-06,45.92992982,52.785,2.406527786,0.095238095,0.904761905,3.015912835,13.56653593,0.389202496,2.927137709,0.789564284,0.935362375,7.593939514,0.789564284,33.054,38.926,45.751186,-122.317373,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub",EGHSS,0.693147181,0.34657359,2,0.174674051,0.017467405,10,0.136214044,0.022702341,6,1.33217904,0.33304476,4,0.988729508,0.005122951,0.006147541,60.3125,0.3125,0.375,0.993852459,60.625,0.215291445,0.017940954,12,0.191793255,0.023974157,8,plot,invaded,0.711864407,0.148791331,distributed,basePlot,450.32,481.29,24.23,225,Inceptisols
550131.807,5068846.389,42,"Evergreen forest: areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75% of the tree species maintain their leaves all year. Canopy is never without green foliage.",ABBY_008,ABBY,2018,2018-06,42.09001809,50.094,3.092413526,0.12244898,0.87755102,4.284468134,11.40705552,0.346923655,4.209776293,0.77022631,0.944321495,5.826944646,0.77022631,30.275,35.758,45.771358,-122.355223,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub",EGHSS,0.376770161,0.188385081,2,1.777853681,0.061305299,29,1.728077568,0.072003232,24,1.044122823,0.261030706,4,0.986060606,0.009090909,0.004848485,67.79166667,0.625,0.333333333,0.995154452,68.45833333,1.801723746,0.058120121,31,1.56352945,0.086862747,18,plot,invaded,0.758842444,0.019264065,distributed,basePlot,347.65,359.4,9.09,45,Inceptisols
550819.025,5068992.14,42,"Evergreen forest: areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75% of the tree species maintain their leaves all year. Canopy is never without green foliage.",ABBY_001,ABBY,2018,2018-06,39.52175819,53.709,4.280943743,0.099773243,0.900226757,7.252525724,15.7647662,0.63559133,5.719283884,0.838870495,0.946290559,6.475291855,0.838870495,5.8475,30.49,45.772619,-122.346369,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub",EGHSS,0.450561209,0.225280604,2,1.580001214,0.042702736,37,1.535754365,0.047992324,32,1.392881433,0.278576287,5,0.987885463,0.007709251,0.004405286,56.0625,0.4375,0.25,0.995594714,56.5,1.603319734,0.041110762,39,1.476315641,0.064187637,23,plot,invaded,0.759689922,0.063671901,distributed,basePlot,297.45,307.65,7.8,135,Andisols
551927.684,5066154.244,42,"Evergreen forest: areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75% of the tree species maintain their leaves all year. Canopy is never without green foliage.",ABBY_016,ABBY,2018,2018-06,39.4713599,47.813,2.763414114,0.117913832,0.882086168,3.548363009,13.85538272,0.50254076,3.033035364,0.76990673,0.946533894,5.481845044,0.76990673,23.76725,33.074,45.746995,-122.332415,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub",EGHSS,0,0,1,1.542315869,0.102821058,15,1.517121707,0.108365836,14,0,0,1,0.992882562,0.005338078,0.001779359,34.875,0.1875,0.0625,0.998220641,35.0625,1.552615328,0.097038458,16,1.316513244,0.146279249,9,plot,invaded,0.8,0.069791667,distributed,basePlot,379.84,387.23,5.94,135,Andisols
550131.807,5068846.389,42,"Evergreen forest: areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75% of the tree species maintain their leaves all year. Canopy is never without green foliage.",ABBY_008,ABBY,2017,2017-06,39.20143117,48.806,3.022436303,0.126984127,0.873015873,4.647342931,10.01119449,0.303222621,4.355633895,0.754958299,0.936933535,6.510486938,0.754958299,30.38,35.07,45.771358,-122.355223,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub",EGHSS,0.348832096,0.174416048,2,1.72326073,0.050684139,34,1.689969287,0.060356046,28,1.452838513,0.242139752,6,0.990559966,0.005578202,0.003861832,96.1875,0.541666667,0.375,0.996138168,96.72916667,1.743265992,0.048424055,36,1.50266577,0.079087672,19,plot,invaded,0.735177866,0.045867886,distributed,basePlot,347.65,359.4,9.09,45,Inceptisols
388187.488,3520164.417,90,Woody wetlands: areas where forest or shrubland vegetation accounts for greater than 20% of vegetative cover and the soil or substrate is periodically saturated with or covered with water.,LENO_009,LENO,2019,2019-06,38.48001872,41.693,1.563488015,0.151927438,0.848072562,1.655428764,8.521835792,0.260943846,3.819804909,0.696664046,0.879848667,11.37949003,0.696664046,30.0025,35.61,31.811631,-88.181314,"Deciduous Forest, Woody Wetlands",DW,0.410116318,0.205058159,2,3.346547271,0.069719735,48,3.271039854,0.072689775,45,0.83140252,0.277134173,3,0.913544669,0.04610951,0.040345821,6.604166667,0.333333333,0.291666667,0.959654179,6.9375,3.397116186,0.067942324,50,2.913912989,0.080942027,36,plot,invaded,0.763636364,0.07249809,distributed,basePlot,12.55,17.36,0.29,253,Entisols
554557.953,5066960.965,42,"Evergreen forest: areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75% of the tree species maintain their leaves all year. Canopy is never without green foliage.",ABBY_006,ABBY,2018,2018-06,38.06308122,50.527,3.175983769,0.106575964,0.893424036,4.127354056,11.68783383,0.440863659,1.726702247,0.815115771,0.934466755,7.174642449,0.815115771,22.348,29.627,45.754053,-122.298512,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub",EGHSS,0.663179453,0.165794863,4,1.209648264,0.041712009,29,1.149080811,0.044195416,26,0.933823852,0.311274617,3,0.961274204,0.011242973,0.027482823,32.0625,0.375,0.916666667,0.972517177,32.4375,1.320510022,0.040015455,33,1.156521372,0.068030669,17,plot,invaded,0.770992366,0.023528182,distributed,basePlot,517.31,543.12,24.23,225,Andisols
271513.228,3949672.179,41,"Deciduous forest: areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75% of the tree species shed foliage simultaneously in response to seasonal change.",GRSM_014,GRSM,2018,2018-04,37.36767168,42.737,1.609354738,0.095238095,0.904761905,1.920608629,7.065320348,0.218297018,2.02327567,0.684795537,0.861710561,13.18937404,0.684795537,30.857,34.416,35.66449,-83.524234,"Deciduous Forest, Evergreen Forest",DE,0,0,0,2.51998695,0.083999565,30,2.458434976,0.087801249,28,0.625083139,0.312541569,2,0.700704225,0.299295775,0,24.875,10.625,0,1,35.5,2.51998695,0.083999565,30,2.280151414,0.095006309,24,plot,not_invaded,0.759615385,0.10451505,distributed,basePlot,538.28,555.83,11.8,191.8,Inceptisols
