"","raw_id","site","year_mo","easting","northing","mean.max.canopy.ht.aop","max.canopy.ht.aop","rumple.aop","deepgap.fraction.aop","cover.fraction.aop","top.rugosity.aop","vert.sd.aop","vertCV.aop","sd.sd.aop","entropy.aop","GFP.AOP.aop","VAI.AOP.aop","VCI.AOP.aop","q25.aop","q50.aop","new_ID"
"1","1","ABBY","2017-06","547684.017","5068068.109","0.154766917293233","1.667","1.02412772282267","0.0952380952380952","0.904761904761905","0.170753895335162","0.436847467223363","1.49033142881504",NA,"0.0562433623474786","0.961538461538461","0","0.0562433623474786","0.06","0.22","ABBY 2017-06 547684.017 5068068.109"
"2","3","ABBY","2017-06","548516.969","5069410.372","32.0418908629442","39.83","2.36104705629402","0.106575963718821","0.893424036281179","2.7001667219787","8.97470131155428","0.326443931695978","3.11138391656365","0.649331927036214","0.941449263362211","5.09589151939791","0.649331927036214","26.5","29.65","ABBY 2017-06 548516.969 5069410.372"
"3","5","ABBY","2017-06","549684.252","5068573.756","0.154201530612245","2.398","1.01218690764612","0.111111111111111","0.888888888888889","0.155090527800727","0.312892669651429","1.66826660359174",NA,"0.0158181082589655","0.993506493506493","0","0.0158181082589655","0.0425","0.14","ABBY 2017-06 549684.252 5068573.756"
"4","6","ABBY","2017-06","549863.536","5065733.54","0.176684782608696","1.559","1.01992775265997","0.165532879818594","0.834467120181406","0.157142530928631","0.415527942350194","0.845858406819734",NA,"0.10033482588224","0.95","0","0.10033482588224","0.2075","0.385","ABBY 2017-06 549863.536 5065733.54"
"5","7","ABBY","2017-06","550131.807","5068846.389","39.2014311688312","48.806","3.0224363028021","0.126984126984127","0.873015873015873","4.64734293105401","10.0111944895246","0.303222621135052","4.35563389450832","0.754958298916085","0.936933535362293","6.51048693807815","0.754958298916085","30.38","35.07","ABBY 2017-06 550131.807 5068846.389"
"6","8","ABBY","2018-06","547473.873","5068783.296","2.19011734693878","5.458","1.42899491917791","0.111111111111111","0.888888888888889","1.01647989779135","1.02596713021521","0.730976512625311","0.47572976982009","0.294187668041885","0.902662216835723","1.12158110819259","0.294187668041885","0.586","1.245","ABBY 2018-06 547473.873 5068783.296"
"7","9","ABBY","2018-06","547622.116","5068694.906","3.77249874055416","6.601","1.56428698465575","0.0997732426303855","0.900226757369615","1.24193192128006","1.42500495002224","0.590390136125073","0.507241609735034","0.390102050954441","0.851435419796675","2.58088363785345","0.390102050954441","1.301","2.2435","ABBY 2018-06 547622.116 5068694.906"
"8","10","ABBY","2018-06","547684.017","5068068.109","1.3518883248731","3.63","1.1729702266957","0.106575963718821","0.893424036281179","0.693054769629056","0.726479632957091","0.693406518012518","0.285849360317966","0.225738102469535","0.930387743589661","0.614969399495921","0.225738102469535","0.489","0.9","ABBY 2018-06 547684.017 5068068.109"
"9","11","ABBY","2018-06","547890.374","5066929.326","1.39225906735751","3.976","1.23687239468976","0.124716553287982","0.875283446712018","0.576016905625972","0.645410384443376","0.705687450989695","0.14152787022311","0.199058372015586","0.954273585907381","0.392096815691436","0.199058372015586","0.4415","0.755","ABBY 2018-06 547890.374 5066929.326"
"10","12","ABBY","2018-06","548099.384","5065856.144","9.46453435114504","13.34","1.57307785312568","0.108843537414966","0.891156462585034","1.24377806786734","2.47365064388636","0.363257733562677","0.793976597087707","0.515754607585423","0.794370244069163","6.47058412440573","0.515754607585423","5.51925","7.136","ABBY 2018-06 548099.384 5065856.144"
"11","13","ABBY","2018-06","548516.969","5069410.372","35.5084923469388","42.001","2.3113636279968","0.111111111111111","0.888888888888889","2.47934560398146","9.74265842760216","0.347768740343704","4.58235203583857","0.676449254940629","0.94268169767519","5.05550757277965","0.676449254940629","27.1355","30.517","ABBY 2018-06 548516.969 5069410.372"
"12","14","ABBY","2018-06","548548.121","5065945.355","9.5944387755102","12.943","1.7356920343456","0.111111111111111","0.888888888888889","1.75414877640006","2.92464757732987","0.461148165713414","0.538793387491325","0.551496100733054","0.835049764406455","4.94583334705736","0.551496100733054","4.33","6.72","ABBY 2018-06 548548.121 5065945.355"
"13","15","ABBY","2018-06","548787.33","5065944.038","0.447654822335025","2.323","1.09943716113847","0.106575963718821","0.893424036281179","0.419089249592815","0.475066828312927","0.709637300184339","0.124906997104982","0.130767732223735","0.965594242500718","0","0.130767732223735","0.313","0.599","ABBY 2018-06 548787.33 5065944.038"
"14","16","ABBY","2018-06","548906.122","5067798.686","7.01249122807017","11.391","2.05220584961548","0.0952380952380952","0.904761904761905","2.0016260887825","2.52150562147192","0.589176475466139","0.768040225688509","0.513455247462803","0.856338121472331","3.76645349896292","0.513455247462803","2.0485","4.158","ABBY 2018-06 548906.122 5067798.686"
"15","17","ABBY","2018-06","548997.257","5068993.563","6.14391472868217","12.271","2.40156651349246","0.122448979591837","0.877551020408163","2.9087571140727","2.71533105937144","0.599910077192242","0.714820209935448","0.527279836842057","0.868780117180289","3.61820512253269","0.527279836842057","2.2435","4.5295","ABBY 2018-06 548997.257 5068993.563"
